z (nm)	 No trap	 Trap (0.8 nm)	 Trap (1 nm)	 Trap (both)
-3.0	1.0078548866230028	2.266480595915859	1.8578265330970813	3.646581799133011	
-2.94	1.0097905980155113	2.359514250974742	1.948772590631897	3.549331178695792	
-2.88	1.0116491326811885	2.4481427711791146	2.0370949466560715	3.4477164689335065	
-2.82	1.0134150450084871	2.5319721019414905	2.1223642286359135	3.3423577767828223	
-2.76	1.0150736591367195	2.6106503690127574	2.2041822586696416	3.2338689176218445	
-2.7	1.0166111909218483	2.683869202786295	2.2821840893015075	3.122853003083483	
-2.64	1.0180148624915344	2.7513646528111892	2.356039698222085	3.009898351523518	
-2.58	1.0192730084374284	2.8129176956616124	2.4254553356935293	2.8955747445598385	
-2.52	1.0203751727621753	2.8683543433486367	2.4901745221688634	2.780430048816312	
-2.46	1.021312195775436	2.9175453633337605	2.549978697152002	2.664987217557292	
-2.4	1.0220762902167722	2.9604056248704116	2.6046875238325895	2.5497416823648646	
-2.34	1.022661105972762	2.996893089823253	2.6541588573898576	2.435159140464947	
-2.2800000000000002	1.0230617828505018	3.0270074692607274	2.6982883880575117	2.3216737388204964	
-2.2199999999999998	1.0232749909689158	3.050788569952795	2.737008973043841	2.2096866517463454	
-2.16	1.0232989584322003	3.068314357405886	2.7702896741772545	2.0995650446214267	
-2.1	1.02313348605541	3.0796987642076417	2.7981345206693446	1.9916414123358916	
-2.04	1.0227799490198095	3.0850892742163447	2.8205810186309352	1.8862132774624234	
-1.98	1.0222412854442418	3.0846643145003037	2.8376984309204345	1.783543229826166	
-1.92	1.0215219719674773	3.0786304879020485	2.8495858525311575	1.6838592862024946	
-1.86	1.0206279865444883	3.0672196796672084	2.8563701080221175	1.5873555463259823	
-1.8	1.0195667587658155	3.050686071740126	2.8582034984567257	1.4941931192693454	
-1.74	1.0183471081129214	3.0293030980942	2.855261425931475	1.4045012925628264	
-1.6800000000000002	1.0169791706626614	3.003360373846604	2.847739924052608	1.3183789151797463	
-1.62	1.0154743148500007	2.97316062992126	2.8358531226576673	1.2358959647129164	
-1.56	1.0138450469890519	2.939016683692481	2.8198306746901634	1.1570952687022709	
-1.5	1.0121049073376065	2.9012484743906333	2.799915172432976	1.081994350132674	
-1.44	1.010268357568934	2.860180190110732	2.7763595793072637	1.0105873675822301	
-1.3800000000000001	1.008350660586028	2.8161375110692037	2.749424702170507	0.9428471213396065	
-1.32	1.0063677536771263	2.769444991340142	2.71937672752484	0.8787270979927545	
-1.26	1.0043361160666489	2.7204235987101906	2.686484843303739	0.8181635274852501	
-1.2000000000000002	1.0022726319623094	2.6693884295625736	2.6510189659726193	0.7610774284009626	
-1.1400000000000001	1.000194450236548	2.616646612878967	2.6132475905902504	0.7073766192305703	
-1.08	0.9981188419084407	2.562495414576974	2.5734357792685905	0.6569576755503352	
-1.02	0.996063056610481	2.5072205505245058	2.531843301174514	0.609707815359066	
-0.96	0.9940441792331075	2.4510947137335566	2.4887229348747932	0.5655066972276742	
-0.8999999999999999	0.9920789879383349	2.394376318475618	2.4443189414714155	0.5242281183721647	
-0.8399999999999999	0.9901838147225035	2.3373084614177273	2.3988657146428602	0.4857416022216392	
-0.7800000000000002	0.9883744096869413	2.2801180973866395	2.3525866114308314	0.4499138674767026	
-0.7200000000000002	0.9866658101445529	2.2230154250587066	2.3056929654205387	0.4166101730020539	
-0.6600000000000001	0.985072215650132	2.1661934757691528	2.258383281881468	0.38569553513531696	
-0.6000000000000001	0.9836068699929827	2.1098278967542217	2.2108426124847393	0.35703581609159674	
-0.54	0.982281951132559	2.0540769184935193	2.1632421054073885	0.3304986840737576	
-0.48	0.981108469991836	1.9990814944105646	2.1157387249812905	0.30595444744079775	
-0.41999999999999993	0.9800961789494974	1.9449656000120181	2.068475133547108	0.2832767668248963	
-0.3600000000000003	0.979253490791435	1.891836677588705	2.0215797268278544	0.26234325041096507	
-0.30000000000000027	0.9785874087951151	1.8397862118474952	1.9751668129348332	0.2430359386953567	
-0.2400000000000002	0.9781034685278667	1.7888904212731949	1.9293369240512708	0.22524168592251956	
-0.18000000000000016	0.9778056918427747	1.7392110496158566	1.8841772488980821	0.20885244606458037	
-0.1200000000000001	0.977696553454512	1.690796241648307	1.839762173269007	0.19376547166835262	
-0.06000000000000005	0.9777769603728754	1.6436814872369911	1.7961539152342365	0.1798834341604763	
0.0	0.9780462443649557	1.5978906178228456	1.7534032410682445	0.16711447429082488	
0.06000000000000005	0.9785021675085804	1.5534368396346165	1.7115502475843847	0.15537219132588373	
0.1200000000000001	0.9791409407908761	1.5103237883784661	1.6706251963879601	0.14457557939771318	
0.17999999999999972	0.9799572555973921	1.4685465907888002	1.6306493856236957	0.13464891909095755	
0.23999999999999977	0.9809443278300771	1.4280929193019711	1.5916360451187779	0.12552163193035706	
0.2999999999999998	0.9820939542874754	1.3889440272273084	1.5535912414201014	0.11712810493365651	
0.3599999999999999	0.9833965808385752	1.35107575311821	1.5165147800857528	0.10940749183792466	
0.41999999999999993	0.9848413818237475	1.3144594845478472	1.48040109368592	0.10230349700827616	
