Time,MeasResult1_value,MeasResult2_value
0.0001,-0.001619047252461,9.9015537E-08
0.0003,-0.001673124032095,1.0314676E-07
0.0005,-0.001618096372113,9.5976951E-08
0.0007,-0.001587826642208,9.3921052E-08
0.0009,-0.00152774527669,9.0944553E-08
0.0011,-0.001590344705619,9.0319148E-08
0.0013,-0.001574373571202,9.0343079E-08
0.0015,-0.001582702505402,9.1371902E-08
0.0017,-0.001511298585683,9.3451732E-08
0.0019,-0.001533045549877,9.0165138E-08
0.0021,-0.001348786288872,7.6435661E-08
0.0023,-0.001570147345774,7.5940328E-08
0.0025,-0.001743630040437,8.9647259E-08
0.0027,-0.001909417449497,9.9760612E-08
0.0029,-0.001617127796635,1.01226142E-07
0.0031,-0.00119875872042,8.8713833E-08
0.0033,-0.001226316555403,9.7433464E-08
0.0035,-0.001327004050836,8.8448125E-08
0.0037,-0.001428202260286,9.0813089E-08
0.0039,-0.001494975062087,9.2765625E-08
0.0041,-0.001471167895943,9.2619246E-08
0.0043,-0.001466026180424,9.8806723E-08
0.0045,-0.001552503323182,9.8900372E-08
0.0047,-0.001583406818099,1.05045878E-07
0.0049,-0.001587897073478,1.08445555E-07
0.0051,-0.001545389299281,1.08222864E-07
0.0053,-0.001512214192189,1.05428477E-07
0.0055,-0.00179911556188,1.07986303E-07
0.0057,-0.001518835080788,1.00609405E-07
0.0059,-0.001613306696527,9.8122342E-08
0.0061,-0.001726426067762,9.5314775E-08
0.0063,-0.00161133450456,9.0830781E-08
0.0065,-0.001509555266239,8.7371788E-08
0.0067,-0.001597335445695,8.6851486E-08
0.0069,-0.001567594124936,8.3752546E-08
0.0071,-0.001678512431681,8.1584602E-08
0.0073,-0.001619786839001,8.1348041E-08
0.0075,-0.001784324063919,7.8944225E-08
0.0077,-0.001675994251855,7.3322845E-08
0.0079,-0.001689958153293,7.4896597E-08
0.0081,-0.001695751445368,7.6255631E-08
0.0083,-0.001658755238168,7.9757292E-08
0.0085,-0.001736568869092,8.0550933E-08
0.0087,-0.001647362252697,8.1947775E-08
0.0089,-0.001635335385799,8.4743206E-08
0.0091,-0.001625562552363,8.5846253E-08
0.0093,-0.001512689632364,9.0421473E-08
0.0095,-0.001573369838297,8.2774719E-08
